Parcel(s),Building Name,Building Address,Postal Code,Floor Area,Property Type - Self Selected,Full.Address,Benchmark 2017 Status,2017 Reason for Exemption,PIM Link,Benchmark 2016 Status,2016 Reason for Exemption,Benchmark 2015 Status,2015 Reason for Exemption,Benchmark 2014 Status,2014 Reason for Exemption,Benchmark 2013 Status,2013 Reason for Exemption,Benchmark 2012 Status,2012 Reason for Exemption,Benchmark 2011 Status,2011 Reason for Exemption,Benchmark 2010 Status,2010 Reason for Exemption,Energy Audit Due Date,Energy Audit Status,Next Audit Due Date,Next Energy Audit Status,2017 ENERGY STAR Score,2017 Site EUI (kBtu/ft2),2017 Source EUI (kBtu/ft2),2017 Percent Better than National Median Site EUI,2017 Percentage Better than National Median Source EUI,2017 Total GHG Emissions (Metric Tons CO2e),2017 Total GHG Emissions Intensity (kgCO2e/ft2),2017 Weather Normalized Site EUI (kBtu/ft2),2017 Weather Normalized Source EUI (kBtu/ft2),2016 ENERGY STAR Score,2016 Site EUI (kBtu/ft2),2016 Source EUI (kBtu/ft2),2016 Percent Better than National Median Site EUI,2016 Percentage Better than National Median Source EUI,2016 Total GHG Emissions (Metric Tons CO2e),2016 Total GHG Emissions Intensity (kgCO2e/ft2),2016 Weather Normalized Site EUI (kBtu/ft2),2016 Weather Normalized Source EUI (kBtu/ft2),2015 ENERGY STAR Score,2015 Site EUI (kBtu/ft2),2015 Source EUI (kBtu/ft2),2015 Percent Better than National Median Site EUI,2015 Percentage Better than National Median Source EUI,2015 Total GHG Emissions (Metric Tons CO2e),2015 Total GHG Emissions Intensity (kgCO2e/ft2),2015 Weather Normalized Site EUI (kBtu/ft2),2015 Weather Normalized Source EUI (kBtu/ft2),2014 ENERGY STAR Score,2014 Site EUI (kBtu/ft2),2014 Source EUI (kBtu/ft2),2014 Percent Better than National Median Site EUI,2014 Percent Better than National Median Source EUI,2014 Total GHG Emissions (Metric Tons CO2e),2014 Total GHG Emissions Intensity (kgCO2e/ft2),2014 Weather Normalized Site EUI (kBtu/ft2),2014 Weather Normalized Source EUI (kBtu/ft2),2013 ENERGY STAR Score,2013 Site EUI (kBtu/ft2),2013 Source EUI (kBtu/ft2),2013 Percent Better than National Median Site EUI,2013 Percent Better than National Median Source EUI,2013 Total GHG Emissions (Metric Tons CO2e),2013 Total GHG Emissions Intensity (kgCO2e/ft2),2013 Weather Normalized Site EUI (kBtu/ft2),2013 Weather Normalized Source EUI (kBtu/ft2),2012 ENERGY STAR Score,2012 Site EUI (kBtu/ft2),2012 Source EUI (kBtu/ft2),2012 Percent Better than National Median Site EUI,2012 Percent Better than National Median Source EUI,2012 Total GHG Emissions (Metric Tons CO2e),2012 Total GHG Emissions Intensity (kgCO2e/ft2),2012 Weather Normalized Site EUI (kBtu/ft2),2012 Weather Normalized Source EUI (kBtu/sq.ft),2011 ENERGY STAR Score,2011 Site EUI (kBtu/ft2),2011 Source EUI (kBtu/ft2),2011 Percent Better than National Median Site EUI,2011 Percent Better than National Median Source EUI,2011 Total GHG Emissions (Metric Tons CO2e),2011 Total GHG Emissions Intensity (kgCO2e/ft2),2011 Weather Normalized Site EUI (kBtu/ft2),2011 Weather Normalized Source EUI (kBtu/ft2)
4570/026,Mendell Street,301 MENDELL ST,94124,65998,Distribution Center,"301 MENDELL ST
SAN FRANCISCO, CA 94124
(37.741609, -122.384102)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4570/026,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2012-11-15T00:00:00,,,,,,,,,,41,38.5,77.7,13.1,13.1,174.6,2.6,39,78.3,47,31.8,71.1,3.4,3.4,145.3,2.2,32.4,71.7,,30.6,68.4,14,14,139.7,2.1,32.2,70,46,33.3,68.4,5.5,5.5,146.6,2.2,32.2,67.2,57,28.4,57.9,-10.7,,130.3,,27.8,57.2,51,31.3,,-2.6,,146.94,,31.3,
3725/087,959 MISSION ST,959 MISSION ST,94103,71847,Office,"959 MISSION ST
SAN FRANCISCO, CA 94103
(37.781651, -122.407852)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=3725/087,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,,,Complied,2013-04-01T00:00:00,,,,,,,,,,98,43.7,94.1,-61.6,-61.6,222.6,3.1,45.4,95.8,99,38.5,84.3,,,189.8,2.6,40.9,86.7,99,36.2,79.3,,,178.5,2.5,41.5,84.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
4991/086,150 EXECUTIVE PARK BLVD,150 EXECUTIVE PARK BLVD,94134,102294,,"150 EXECUTIVE PARK BLVD
SAN FRANCISCO, CA 94134
(37.711257, -122.393181)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4991/086,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,93,38.7,97.5,-49.9,-49.9,289.2,2.8,39,95.7,94,41.4,97.3,-51.7,-51.7,299.9,2.9,40.6,97,,,,,,,,,,,,,,,,,,
0296/009,450 POST ST,450 POST ST,94102,162214,Hotel,"450 POST ST
SAN FRANCISCO, CA 94102
(37.788178, -122.409333)",Complied,,http://propertymap.sfplanning.org/?&search=0296/009,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Upcoming,2019-04-01T00:00:00,Complied,2012-11-15T00:00:00,41,92.9,146.6,7.7,7.7,886.8,5.5,93.9,147.7,34,95.5,154.8,14.8,14.8,965.1,5.9,96.1,155.2,38,95.5,155.6,10,10,944.9,5.8,96.8,156.5,30,100.5,163.1,18.2,18.2,993,6.1,105,167.7,30,110.2,175.8,18.6,18.6,1082.3,6.7,108.8,175,35,106.4,169.2,13.7,13.7,1043.4,6.4,106.8,170.6,,,,,,2.9,,,
5211/032,3450 3RD ST #2 A,3450 3RD ST #2 A,94124,11198,,"3450 3RD ST
SAN FRANCISCO, CA 94124
(37.745606, -122.387207)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=5211/032,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3741/035,2 Folsom,250 THE EMBARCADERO,94105,700079,Office,"250 THE
SAN FRANCISCO, CA 94105
",Complied,,http://propertymap.sfplanning.org/?&search=3741/035,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,89,56.7,158,-41.9,-41.9,2285.1,4.1,56.7,158,89,53.6,154.9,-42.3,-42.3,2483.6,4.4,53.6,154.9,89,55.1,158,-41.9,-41.9,2401,4.3,55.8,158.7,90,54.2,154.2,-43.5,-43.5,2352.4,4.2,55.6,155.7,91,55.1,153.1,-44.8,-44.8,2364.6,4.2,55.2,153.1,95,54.6,159.6,-49.6,,2568.48,,54.2,159.2,83,58.5,,-33.8,,2716.55,,55.9,
0267/009,The Heineman Building (130 Bush St),130 BUSH ST,94104,14100,Office,"130 BUSH ST
SAN FRANCISCO, CA 94104
(37.791259, -122.400143)",Complied,,http://propertymap.sfplanning.org/?&search=0267/009,Complied,,Complied,,Complied,,Violation - Did Not Report,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,41,75.9,140.7,9.3,9.3,66.2,4.7,75.9,140.7,28,91.7,160.9,27,27,78.6,5.6,93.6,163,27,95.4,165,28,28,83.9,6,95.4,165,16,108,189.2,49.6,49.6,95.4,6.8,110.1,191.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
0329/001,800 Market Street,800 MARKET ST,94102,53715,Office,"800 MARKET ST
SAN FRANCISCO, CA 94102
(37.78532, -122.406411)",Complied,,http://propertymap.sfplanning.org/?&search=0329/001,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,69,62.6,144.9,-20.7,-20.7,224.8,4.2,64,145.9,84,66,156.4,-37.5,-37.5,263.7,4.9,68.8,158.6,82,65.2,161.5,-35.5,-35.5,254,4.7,66.2,160.8,80,67.4,164.7,-33.6,-33.6,260.9,4.9,70.5,165.2,79,70.6,165.2,-32.5,-32.5,282.8,5.3,68.2,163.3,78,70.5,171,-30.8,,287.19,,78.2,186.9,,87.8,,55.1,,303.73,,87.8,
3763/009,420 Bryant,420 BRYANT ST,94107,12900,Office,"420 BRYANT ST
SAN FRANCISCO, CA 94107
(37.782601, -122.394191)",Exempt,Vacancy,http://propertymap.sfplanning.org/?&search=3763/009,Complied,,Complied,,Exempt,Exempt - Tenant Turnover,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,94,25.8,76.1,-52.1,-52.1,27.8,2.2,25.8,76.1,89,29.4,91.5,-43.7,-43.7,30.8,2.4,29.4,91.5,,,,,,,,,,96,27.8,70.5,-57.6,-57.6,27.9,2.2,27.8,70.5,,,,,,,,,,,,,,,,,,
3515/021,1699 HOWARD ST,1699 HOWARD ST,94103,12198,,"1699 HOWARD ST
SAN FRANCISCO, CA 94103
(37.770217, -122.417611)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3515/021,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0309/020,240 Stockton,234 STOCKTON ST,94108,48934,Office,"234 STOCKTON ST
SAN FRANCISCO, CA 94108
(37.788158, -122.406723)",Complied,,http://propertymap.sfplanning.org/?&search=0309/020,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Exempt - LEED EBOM,2013-04-01T00:00:00,94,38.2,101.1,-55.2,-55.2,137.2,2.8,39.6,102.7,,,,,,,,,,54,65,185.4,-5.5,-5.5,252.2,5.2,66,186.5,53,66,194,-3.5,-3.5,258.3,5.3,66.9,195.2,94,38.2,97.2,-53.8,-53.8,126.7,2.9,38.2,97.3,94,40,98.9,-53.5,-53.5,131.7,3.1,40,98.9,,,,,,,,,
7521/002B,Diamond Heights Shopping Center - B1,"5238,5260 Diamond Heights Blvd",94131,20405,Mixed Use Property,,Violation - Did Not Report,,,Complied,,Complied,,Exempt,,Exempt,,Exempt,,Exempt,,Exempt,,,,Complied,2013-04-01T00:00:00,,62.4,195.9,71.2,71.2,111.4,9.5,,,,367.7,559.6,389,389,455.5,22.3,367.7,559.6,,345.7,536.8,369.1,369.1,422.9,20.7,345.7,660.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5587/003,2132 PALOU AVE,2132 PALOU AVE,94124,22003,Non-Refrigerated Warehouse,"2132 PALOU AVE
SAN FRANCISCO, CA 94124
(37.740064, -122.401281)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=5587/003,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,64,20,55,-20,-20,35.4,1.6,20.2,55.3,54,21.9,64.9,-5.7,-5.7,38.2,1.7,22.2,64.6,51,22.4,67.3,-1.6,-1.6,39.3,1.8,22.1,66.1,50,24.1,69.5,-0.9,-0.9,41.4,1.9,23.7,69.1,,,,,,,,,,,,,,,,,,
3534/057,1975 MARKET ST,1975 MARKET ST,94103,10534,,"1975 MARKET ST
SAN FRANCISCO, CA 94103
(37.76937, -122.426448)",Complied,,http://propertymap.sfplanning.org/?&search=3534/057,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,24,112.3,261.8,38.9,38.9,79.3,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3777/044,560 Brannan,560 BRANNAN ST,94107,15762,Office,"560 BRANNAN ST
SAN FRANCISCO, CA 94107
(37.777248, -122.397901)",Complied,,http://propertymap.sfplanning.org/?&search=3777/044,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,99,19.7,49.2,-66.6,-66.6,21.4,1.4,21.4,51,100,17.5,41.7,-71.1,-71.1,20.5,1.3,19.9,44.2,100,17,42,-71.5,-71.5,19.4,1.2,17.9,43,97,20.8,60.1,-58.5,-58.5,25.6,1.6,20,57.5,83,21.8,60.3,-36.3,-36.2,26.3,1.7,21.8,60.4,,,,,,,,,,,,,,,,,,
3733/091,363 CLEMENTINA ST,363 CLEMENTINA ST,94103,11000,Office,"363 CLEMENTINA ST
SAN FRANCISCO, CA 94103
(37.781379, -122.403071)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3733/091,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,100,28.5,64.3,-77.3,-77.3,22.7,2.1,32.2,68.2,100,32.3,74.1,-73.7,-73.7,24.9,2.3,34.1,76.1,100,33.5,77.1,-72.3,-72.3,25.8,2.3,39.3,82.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
3733/084,835 HOWARD ST,835 HOWARD ST,94103,32706,Office,"835 HOWARD ST
SAN FRANCISCO, CA 94103
(37.782594, -122.403555)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3733/084,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2014-04-01T00:00:00,,,,,,,,,,95,22.2,69.7,-57.1,-57.1,55.1,1.7,22.2,69.7,95,22.5,70.6,-56.3,-56.3,60,1.8,22.5,70.6,97,19.5,61.4,-61.3,-61.3,52.1,1.6,18.4,57.7,,,,,,,,,,,12.5,39.1,-68.1,-68.2,35.8,1.1,12.5,39.1,,,,,,,,,
0310/003,K&H California,45 KEARNY ST,94108,28660,Office,"45 KEARNY ST
SAN FRANCISCO, CA 94108
(37.788545, -122.403603)",Complied,,http://propertymap.sfplanning.org/?&search=0310/003,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,51,54.2,134.4,-2.1,-2.1,106.7,3.7,54.8,136.1,43,64,144.3,7.1,7.1,133,4.6,64,144.3,56,54.5,127.9,-6.9,-6.9,110.6,3.9,55.6,129,58,53,122.8,-8.8,-8.8,106.8,3.7,55.9,127.4,,,,,,,,,,,140.9,400.6,107.3,,280.16,,142.5,404.7,,,,,,,,,
4324/002,1950-2190 Cesar Chavez,2150 CESAR CHAVEZ ST,94107,195487,Non-Refrigerated Warehouse,"2150 CESAR CHAVEZ ST
SAN FRANCISCO, CA 94107
(37.749674, -122.397767)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4324/002,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Upcoming,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,17.2,45.1,-24.7,-24.7,263.9,1.4,18.2,45.8,,16.1,42.6,-65.4,-65.4,235.5,1.2,16.7,43.3,,11,32.2,-73.8,-73.8,168.9,0.9,11,32.2,,9.8,27.4,-77.7,-77.7,147.5,0.8,9.8,27.4,,,,,,,,,,100,3.9,,-85,,56.06,,3.9,
0498/029,Travelodge By the Bay,1450 LOMBARD ST,94123,39504,Hotel,"1450 LOMBARD ST
SAN FRANCISCO, CA 94123
(37.801235, -122.425518)",Complied,,http://propertymap.sfplanning.org/?&search=0498/029,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,41,90.7,180.5,7,7,153.3,5.7,90.7,180.5,23,111.2,207.2,25.1,25.1,196.4,7.4,111.2,207.2,25,114.3,208.3,23.4,23.4,194,7.3,114.3,208.3,26,118.4,205.6,22,22,197.2,7.4,118.4,205.6,69,58.8,146.6,-15.1,-15.1,114.1,4.3,58.9,146.8,81,37.2,124.4,-28.5,,74.44,,37.5,125.3,,,,,,,,,
3706/062,731 Market Street,731 MARKET ST,94103,93140,Office,"731 MARKET ST
SAN FRANCISCO, CA 94103
(37.787002, -122.404283)",Complied,,http://propertymap.sfplanning.org/?&search=3706/062,Complied,,Complied,,Exempt,Exempt - Change of Ownership,Complied,,Complied,,Complied,,Complied,,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,94,51.1,134.8,-53.3,-53.3,349.2,3.7,51.6,135.4,96,47.1,122.8,-58.1,-58.1,356.3,3.8,47.5,123.2,87,60.5,152.3,-42,-42,432.2,4.6,59.8,150.1,,,,,,,,,,80,76.5,173.1,-33.1,-33.1,628.6,6.7,76.5,173.1,75,76.9,183.8,-27.5,-27.5,631.7,6.8,78.7,189.2,,,,,,521.6,,,
0174/003,633 Battery,617 BATTERY ST,94111,119099,Office,"617 BATTERY ST
SAN FRANCISCO, CA 94111
(37.797191, -122.400785)",Complied,,http://propertymap.sfplanning.org/?&search=0174/003,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,96,37.9,93.8,-56.7,-56.7,309.7,2.6,39,94.4,95,40,97.7,-54.2,-54.2,359.7,3,41.7,99.5,94,40.9,101.8,-52.8,-52.8,354.1,3,41.8,102.1,93,42.8,106.8,-49.8,-49.8,371.2,3.1,45.1,109.2,90,47.8,114.4,-44.7,-44.7,429.3,3.6,48,114.6,89,52.6,136.7,-43.4,,493.02,,52.2,136.3,93,35.9,,-50.6,,388.97,,36.9,
9900/278,Pier 2 - Agriculture Building,101 The Embarcadero,94105,15586,Office,"101 The
SAN FRANCISCO, CA 94105
",Complied,,http://propertymap.sfplanning.org/?&search=9900/278,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,,,Exempt - Municipal,2099-04-01T00:00:00,47,123.1,198.4,2.4,2.4,113.6,7.3,132.6,208.4,42,136.3,207.1,8,8,128.9,8.3,158.9,230.8,16,176.2,287.7,48.4,48.4,167.6,10.8,,,20,163.9,268.3,40,40,156.1,10,,,25,162.5,257.1,31.2,31.1,156.8,10.1,,,,,,,,,,,,,,,,,,,,
6954/018,65 OCEAN AVE,65 OCEAN AVE,94112,18904,,"65 OCEAN AVE
SAN FRANCISCO, CA 94112
(37.723633, -122.438404)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=6954/018,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0294/013,Taj Campton Place Hotel,340 STOCKTON ST,94108,94000,Hotel,"340 STOCKTON ST
SAN FRANCISCO, CA 94108
(37.789116, -122.40691)",Complied,,http://propertymap.sfplanning.org/?&search=0294/013,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Pending - Contracted,2018-04-01T00:00:00,Complied,2013-04-01T00:00:00,23,149.3,286,27.7,27.7,965.5,10.3,149.3,286,20,149.9,292.7,33.3,33.3,1032.3,11,149.9,292.7,24,143.5,285.7,27.5,27.5,965.2,10.3,143.5,285.7,19,150,297.3,35,35,1007,10.7,150,297.3,17,156.2,310.6,37.3,37.3,1250,13.3,156.4,310.9,17,157.7,316.1,38.1,,1261.6,,156,314.1,14,162.9,,43.2,,1251.13,,162.6,
4231/002,1300 Illinois Street,1300 ILLINOIS ST,94107,16250,Office,"1300 ILLINOIS ST
SAN FRANCISCO, CA 94107
(37.754814, -122.387021)",Complied,,http://propertymap.sfplanning.org/?&search=4231/002,Complied,,Complied,,Complied,,Complied,,Complied,,Violation - Insufficient Data,,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,60,26.1,81.8,-10.7,-10.7,32.1,2,26.1,81.8,67,24,75.4,-17.7,-17.7,33.9,2.1,24,75.4,52,28.4,89.2,-2.6,-2.6,37.6,2.3,28.4,89.2,47,29.9,94,2.6,2.6,39.7,2.4,29.9,94,55,27.3,85.8,-6.5,-6.3,39,2.4,27.3,85.8,,,,,,,,,,,,,,,,,,
0260/004,217 SANSOME ST,217 SANSOME ST,94104,10588,,"217 SANSOME ST
SAN FRANCISCO, CA 94104
(37.79244, -122.401026)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0260/004,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Did Not Comply,2013-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4304/002,Pier 80 - Admin Bldg.,501 Cesar Chavez,94124,41390,Office,"501 Cesar
SAN FRANCISCO, CA 94124
",Complied,,http://propertymap.sfplanning.org/?&search=4304/002,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Exempt - Municipal,2099-04-01T00:00:00,77,33.3,79.6,-28.4,-28.4,93.4,2.3,35.9,82.4,79,31.3,76,-31.6,-31.6,97.5,2.4,33.3,78,61,43.1,97,-12.3,-12.3,123.9,3,,,37,51,124.9,14,14,152.3,3.7,,,26,64.2,145.3,28.9,29,194.8,4.7,,,,,,,,,,,,,,,,,,,,
0267/015,235 Pine,235 PINE ST,94104,222853,Office,"235 PINE ST
SAN FRANCISCO, CA 94104
(37.792192, -122.400322)",Violation - Data Not Verified,,http://propertymap.sfplanning.org/?&search=0267/015,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt - ENERGY STAR,2018-04-01T00:00:00,Exempt - ENERGY STAR,2012-11-15T00:00:00,,,,,,,,,,94,36.8,94.3,-51,-51,544.5,3,39.3,98,93,44.3,114.4,-48.9,-48.9,626.3,3.4,45.5,115,91,45.1,121.2,-45.6,-45.6,644.8,3.5,47.3,123.4,95,40,100.7,-54.3,-54.3,785.4,3.5,40,100.7,97,35.8,94.6,-57.4,,703.3,,35.8,94.6,97,39.1,,-56.9,,761.41,,38.4,
0496/013,3110 OCTAVIA ST,3110 OCTAVIA ST,94123,11268,,"3110 OCTAVIA ST
SAN FRANCISCO, CA 94123
(37.800947, -122.429534)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0496/013,Violation - Did Not Report,,Violation - Did Not Report,,Complied,,Complied,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,102.5,181.2,-8.1,-8.1,72.6,6.4,106,184.9,61,103.3,182.1,-9.7,-9.7,73.1,6.5,103.5,182.3,,,,,,,,,,,,,,,,,,
3777/003,520 4TH ST,520 4TH ST,94107,12489,Bar/Nightclub,"520 4TH ST
SAN FRANCISCO, CA 94107
(37.779243, -122.397702)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=3777/003,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,30.8,85.9,1,1,31.2,2.5,30.8,85.9,,28.2,77.4,-9,-9,28.3,2.3,28.2,77.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4288/004,1750 Cesar Chavez,1750 Cesar Chavez,94107,31546,Mixed Use Property,"1750 Cesar
SAN FRANCISCO, CA 94107
",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=4288/004,Complied,,Exempt,,Exempt,,,,,,,,,,,,Complied,2014-04-01T00:00:00,,,,,,,,,,,77.8,155,25.9,25.9,167.6,5.3,82.3,159.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0326/004,111 POWELL ST,111 POWELL ST,94102,29081,Retail Store,"111 POWELL ST
SAN FRANCISCO, CA 94102
(37.785845, -122.407937)",Complied,,http://propertymap.sfplanning.org/?&search=0326/004,Complied,,Complied,,Complied,,Complied,,Violation - Did Not Report,,Violation - Did Not Report,,Exempt,Exempt - SqFt Not Subject This Year,,,Complied,2013-04-01T00:00:00,37,114.3,358.9,17.5,17.5,252.1,8.7,114.3,358.9,30,123.3,387.2,27.7,27.7,311.2,10.7,123.3,387.2,,132.9,417.2,264.6,264.6,315.1,10.8,132.9,417.2,,143.3,438.2,282.9,282.9,335.2,11.5,143.3,438.2,,46.6,146.3,27.8,27.8,110.4,3.8,,,,,,,,,,,,,,,,,,,,
0667/005,1430 BUSH ST,1430 BUSH ST,94109,13000,"Repair Services (Vehicle, Shoe, Locksmith, etc.)","1430 BUSH ST
SAN FRANCISCO, CA 94109
(37.788617, -122.420956)",Violation - Did Not Report,,http://propertymap.sfplanning.org/?&search=0667/005,Complied,,Complied,,Complied,,Complied,,Complied,,Exempt,Exempt - SqFt Not Subject This Year,Exempt,Exempt - SqFt Not Subject This Year,Upcoming,2019-04-01T00:00:00,Complied,2013-04-01T00:00:00,,,,,,,,,,,15.2,35.5,-64.7,-64.7,14.6,1.1,15.4,35.7,,14.7,35.4,-64.7,-64.7,13.7,1.1,14.9,35.7,,14.9,35,-65.1,-65.1,13.7,1.1,15.7,35.7,,15.9,33.9,-72.4,-72.5,14.7,1.1,15.9,34,,,,,,,,,,,,,,,,,,
